РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",902,"Природни науки - НЕ интензивно, АЕ; БЗО и ХООС",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),407.5
ИЗГРЕВ,2205119,"119 Средно училище ""Академик Михаил Арнаудов"", ГР.СОФИЯ",1522,Хуманитарни науки - АЕ интензивно,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ),406
СРЕДЕЦ,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу"", ГР.СОФИЯ",4401,"Обществени науки - ИЕ разширено, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М),404.25
ТРИАДИЦА,2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",933,"Банково дело - ФЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),404
ЛОЗЕНЕЦ,2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",3604,Икономика и мениджмънт - ИЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),402
ИЗГРЕВ,2205105,"105. СРЕДНО УЧИЛИЩЕ  ""АТАНАС ДАЛЧЕВ"", ГР.СОФИЯ",2514,"Чужди езици - ИтЕ интензивно, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),402
ОБОРИЩЕ,2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",4880,"Маркетингови проучвания -  АЕ интензивно, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),401.75
ТРИАДИЦА,2224433,"НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ, ГР.СОФИЯ",941,"Електронна търговия - РЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),401.5
ТРИАДИЦА,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",1296,Рекламна графика - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),400.5
ВЪЗРАЖДАНЕ,2204018,"18 Средно училище  ""Уилям Гладстон"", ГР.СОФИЯ",1647,"Чужди езици - КитЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),398
